"","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count","type","hour","wday","year","month"
"1","1","0","0","1",9.84,14.395,81,0,16,TRUE,"0","6","2011","0"
"2","1","0","0","1",9.02,13.635,80,0,40,TRUE,"1","6","2011","0"
"3","1","0","0","1",9.02,13.635,80,0,32,TRUE,"2","6","2011","0"
"4","1","0","0","1",9.84,14.395,75,0,13,TRUE,"3","6","2011","0"
"5","1","0","0","1",9.84,14.395,75,0,1,TRUE,"4","6","2011","0"
"6","1","0","0","2",9.84,12.88,75,6.0032,1,TRUE,"5","6","2011","0"
"7","1","0","0","1",9.02,13.635,80,0,2,TRUE,"6","6","2011","0"
"8","1","0","0","1",8.2,12.88,86,0,3,TRUE,"7","6","2011","0"
"9","1","0","0","1",9.84,14.395,75,0,8,TRUE,"8","6","2011","0"
"10","1","0","0","1",13.12,17.425,76,0,14,TRUE,"9","6","2011","0"
"11","1","0","0","1",15.58,19.695,76,16.9979,36,TRUE,"10","6","2011","0"
"12","1","0","0","1",14.76,16.665,81,19.0012,56,TRUE,"11","6","2011","0"
"13","1","0","0","1",17.22,21.21,77,19.0012,84,TRUE,"12","6","2011","0"
"14","1","0","0","2",18.86,22.725,72,19.9995,94,TRUE,"13","6","2011","0"
"15","1","0","0","2",18.86,22.725,72,19.0012,106,TRUE,"14","6","2011","0"
"16","1","0","0","2",18.04,21.97,77,19.9995,110,TRUE,"15","6","2011","0"
"17","1","0","0","2",17.22,21.21,82,19.9995,93,TRUE,"16","6","2011","0"
"18","1","0","0","2",18.04,21.97,82,19.0012,67,TRUE,"17","6","2011","0"
"19","1","0","0","3",17.22,21.21,88,16.9979,35,TRUE,"18","6","2011","0"
"20","1","0","0","3",17.22,21.21,88,16.9979,37,TRUE,"19","6","2011","0"
"21","1","0","0","2",16.4,20.455,87,16.9979,36,TRUE,"20","6","2011","0"
"22","1","0","0","2",16.4,20.455,87,12.998,34,TRUE,"21","6","2011","0"
"23","1","0","0","2",16.4,20.455,94,15.0013,28,TRUE,"22","6","2011","0"
"24","1","0","0","2",18.86,22.725,88,19.9995,39,TRUE,"23","6","2011","0"
"25","1","0","0","2",18.86,22.725,88,19.9995,17,TRUE,"0","0","2011","0"
"26","1","0","0","2",18.04,21.97,94,16.9979,17,TRUE,"1","0","2011","0"
"27","1","0","0","2",17.22,21.21,100,19.0012,9,TRUE,"2","0","2011","0"
"28","1","0","0","2",18.86,22.725,94,12.998,6,TRUE,"3","0","2011","0"
"29","1","0","0","2",18.86,22.725,94,12.998,3,TRUE,"4","0","2011","0"
"30","1","0","0","3",17.22,21.21,77,19.9995,2,TRUE,"6","0","2011","0"
"31","1","0","0","2",16.4,20.455,76,12.998,1,TRUE,"7","0","2011","0"
"32","1","0","0","3",16.4,20.455,71,15.0013,8,TRUE,"8","0","2011","0"
"33","1","0","0","2",15.58,19.695,76,15.0013,20,TRUE,"9","0","2011","0"
"34","1","0","0","2",14.76,17.425,81,15.0013,53,TRUE,"10","0","2011","0"
"35","1","0","0","2",14.76,16.665,71,16.9979,70,TRUE,"11","0","2011","0"
"36","1","0","0","2",14.76,16.665,66,19.9995,93,TRUE,"12","0","2011","0"
"37","1","0","0","2",14.76,17.425,66,8.9981,75,TRUE,"13","0","2011","0"
"38","1","0","0","3",14.76,17.425,76,12.998,59,TRUE,"14","0","2011","0"
"39","1","0","0","3",13.94,16.665,81,11.0014,74,TRUE,"15","0","2011","0"
"40","1","0","0","3",13.94,16.665,71,11.0014,76,TRUE,"16","0","2011","0"
"41","1","0","0","1",13.94,16.665,57,12.998,65,TRUE,"17","0","2011","0"
"42","1","0","0","2",14.76,16.665,46,22.0028,53,TRUE,"18","0","2011","0"
"43","1","0","0","1",13.12,14.395,42,30.0026,30,TRUE,"19","0","2011","0"
"44","1","0","0","1",12.3,13.635,39,23.9994,22,TRUE,"20","0","2011","0"
"45","1","0","0","1",10.66,11.365,44,22.0028,31,TRUE,"21","0","2011","0"
"46","1","0","0","1",9.84,10.605,44,19.9995,9,TRUE,"22","0","2011","0"
"47","1","0","0","1",9.02,11.365,47,11.0014,8,TRUE,"23","0","2011","0"
"48","1","0","1","1",9.02,9.85,44,23.9994,5,TRUE,"0","1","2011","0"
"49","1","0","1","1",8.2,8.335,44,27.9993,2,TRUE,"1","1","2011","0"
"50","1","0","1","1",6.56,6.82,47,26.0027,1,TRUE,"4","1","2011","0"
"51","1","0","1","1",6.56,6.82,47,19.0012,3,TRUE,"5","1","2011","0"
"52","1","0","1","1",5.74,5.305,50,26.0027,30,TRUE,"6","1","2011","0"
"53","1","0","1","1",5.74,6.82,50,12.998,64,TRUE,"7","1","2011","0"
"54","1","0","1","1",5.74,6.06,50,19.0012,154,TRUE,"8","1","2011","0"
"55","1","0","1","1",6.56,6.82,43,26.0027,88,TRUE,"9","1","2011","0"
"56","1","0","1","1",7.38,8.335,43,16.9979,44,TRUE,"10","1","2011","0"
"57","1","0","1","1",8.2,9.09,40,22.0028,51,TRUE,"11","1","2011","0"
"58","1","0","1","1",9.02,10.605,35,19.9995,61,TRUE,"12","1","2011","0"
"59","1","0","1","1",9.84,10.605,35,19.0012,61,TRUE,"13","1","2011","0"
"60","1","0","1","1",10.66,12.12,30,19.0012,77,TRUE,"14","1","2011","0"
"61","1","0","1","1",10.66,12.12,30,16.9979,72,TRUE,"15","1","2011","0"
"62","1","0","1","1",10.66,12.12,30,16.9979,76,TRUE,"16","1","2011","0"
